City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bethel,US,2022-08-07 02:52:12,41.3712,-73.414,79.65,87,38,3.8
68,Avarua,CK,2022-08-07 02:49:09,-21.2078,-159.775,77.05,61,20,20.71
69,Pangnirtung,CA,2022-08-07 02:52:13,66.1451,-65.7125,43.25,90,98,1.68
70,Castro,BR,2022-08-07 02:52:13,-24.7911,-50.0119,52.63,97,100,6.53
71,Aklavik,CA,2022-08-07 02:52:14,68.2191,-135.0107,48.78,76,55,16.44
72,Talmenka,RU,2022-08-07 02:52:14,53.8183,83.5677,71.38,51,5,4.14
73,Shipitsyno,RU,2022-08-07 02:52:14,61.2806,46.5208,66.6,73,11,6.91
74,Tsevie,TG,2022-08-07 02:52:15,6.4261,1.2133,69.55,91,7,4.76
75,Alvaraes,BR,2022-08-07 02:52:15,-3.2208,-64.8042,76.71,78,77,2.1
76,Provideniya,RU,2022-08-07 02:52:15,64.3833,-173.3,50.63,89,72,11.18
77,Ndele,CF,2022-08-07 02:52:16,8.4109,20.6473,69.15,98,100,1.28
78,Naliya,IN,2022-08-07 02:52:16,23.2667,68.8333,84.54,76,91,7.14
79,Byron Bay,AU,2022-08-07 02:52:16,-28.65,153.6167,67.71,38,0,7.2
80,Cape Town,ZA,2022-08-07 02:52:17,-33.9258,18.4232,56.1,81,0,8.05
81,San Cristobal,VE,2022-08-07 02:52:17,7.7669,-72.225,69.98,92,97,2.21
82,Jalu,LY,2022-08-07 02:52:18,29.0331,21.5482,76.75,57,0,8.59
83,Sawakin,SD,2022-08-07 02:52:18,19.1059,37.3321,87.08,61,97,12.08
84,Klichka,RU,2022-08-07 02:52:18,50.4457,117.996,62.78,45,0,17.85
85,Hobart,AU,2022-08-07 02:52:19,-42.8794,147.3294,52.23,76,40,6.91
86,Mar Del Plata,AR,2022-08-07 02:48:08,-38.0023,-57.5575,47.08,77,100,1.99
87,Port Alfred,ZA,2022-08-07 02:52:19,-33.5906,26.891,57.18,95,100,5.01
88,Upernavik,GL,2022-08-07 02:52:19,72.7868,-56.1549,39.88,88,32,12.35
89,Souillac,MU,2022-08-07 02:52:20,-20.5167,57.5167,68.38,88,40,5.75
90,Cairns,AU,2022-08-07 02:52:20,-16.9167,145.7667,86.11,57,75,11.5
91,Zhongshan,CN,2022-08-07 02:52:20,21.3226,110.5829,85.59,77,98,14.41
92,Esperance,AU,2022-08-07 02:53:21,-33.8667,121.9,61.29,59,68,19.35
93,Dawei,MM,2022-08-07 02:53:21,14.0833,98.2,77.5,93,100,8.59
94,Atuona,PF,2022-08-07 02:53:21,-9.8,-139.0333,77.0,76,28,18.57
95,Kapaa,US,2022-08-07 02:53:22,22.0752,-159.319,83.12,78,61,3.0
96,Geraldton,AU,2022-08-07 02:53:22,-28.7667,114.6,68.41,68,75,4.61
97,Veraval,IN,2022-08-07 02:53:22,20.9,70.3667,82.49,82,100,8.55
98,Lebu,CL,2022-08-07 02:53:23,-37.6167,-73.65,48.7,94,100,4.5
99,Ponta Do Sol,PT,2022-08-07 02:53:23,32.6667,-17.1,72.01,81,0,5.88
100,Springdale,US,2022-08-07 02:53:23,36.1867,-94.1288,84.07,72,0,5.75
101,Tukrah,LY,2022-08-07 02:53:24,32.5341,20.5791,78.62,78,0,6.91
102,Port-Gentil,GA,2022-08-07 02:51:49,-0.7193,8.7815,73.2,83,100,13.02
103,Maumere,ID,2022-08-07 02:53:24,-8.6199,122.2111,81.99,67,40,3.44
104,Hofn,IS,2022-08-07 02:53:24,64.2539,-15.2082,52.34,88,78,2.98
105,Hasaki,JP,2022-08-07 02:53:25,35.7333,140.8333,88.29,80,36,10.45
106,Erenhot,CN,2022-08-07 02:53:25,43.6475,111.9767,76.14,45,8,14.81
107,Lodja,CD,2022-08-07 02:53:25,-3.4833,23.4333,73.8,59,54,0.72
108,Kasongo,CD,2022-08-07 02:53:26,-4.45,26.6667,76.8,42,78,3.38
109,Grindavik,IS,2022-08-07 02:49:17,63.8424,-22.4338,49.95,100,100,9.22
110,Salima,MW,2022-08-07 02:53:26,-13.7804,34.4587,66.13,55,0,7.31
111,Aranda De Duero,ES,2022-08-07 02:50:35,41.6704,-3.6892,67.96,59,3,5.59
112,Springbok,ZA,2022-08-07 02:53:27,-29.6643,17.8865,48.87,36,89,8.46
113,Lata,PT,2022-08-07 02:53:27,40.1629,-8.3327,59.86,94,0,1.86
