City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
270,Lorengau,PG,84.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
272,Laguna,US,80.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
280,Liuzhou,CN,86.52,overcast clouds,24.3126,109.3892,Linjiang Inn
282,Aurora,US,81.39,clear sky,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
283,Katsuura,JP,83.89,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
284,Puerto Escondido,MX,76.06,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
286,Tecoanapa,MX,79.88,overcast clouds,16.5167,-98.75,Hotel Manglares
288,Buchanan,LR,75.2,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
291,Pinerovka,RU,78.64,overcast clouds,51.562,43.0689,Гостиница на вокзале Балашов
297,La Palma,US,87.31,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
299,Fomboni,KM,76.32,few clouds,-12.28,43.7425,Auberge les abou
305,Shenjiamen,CN,85.48,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
308,Dedougou,BF,76.17,broken clouds,12.4667,-3.4667,Hôtel Bon Séjour
310,Vicksburg,US,75.43,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
312,Zabid,YE,82.27,overcast clouds,14.1951,43.3152,مغرب التريبه
313,Bubaque,GW,80.33,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
315,Salinopolis,BR,77.97,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
321,Carutapera,BR,75.25,few clouds,-1.195,-46.02,Lidera
326,Pangobilian,PH,85.3,broken clouds,8.8011,117.8594,Sir Brooke's Resort
327,Shangzhi,CN,77.59,clear sky,45.2167,127.9667,Ocean Zhixing Business Clubhouse
329,Ambilobe,MG,76.32,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
338,Phuket,TH,86.22,light rain,8.0,98.25,The Surin
340,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
346,Oussouye,SN,79.11,overcast clouds,12.485,-16.5469,Auberge du Routard
347,Auki,SB,82.17,scattered clouds,-8.7676,160.7034,Auki Motel
353,Yebaishou,CN,87.19,few clouds,41.3975,119.6408,Siji Home
354,San Policarpo,PH,84.0,few clouds,12.1791,125.5072,Agapita M. Nicart
357,Gucheng,CN,89.02,overcast clouds,35.9115,111.3192,古城宾馆
361,Zhanaozen,KZ,87.93,clear sky,43.3,52.8,K.korabay 28A
367,Fuyu,CN,79.09,clear sky,45.1833,124.8167,Education Hostel
379,Dwarka,IN,84.97,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
381,Manzanillo,CU,75.78,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
383,Damietta,EG,78.12,clear sky,31.4165,31.8133,SULIMAN INN
386,Caldwell,US,80.67,haze,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
388,Aquin,HT,78.66,clear sky,18.2833,-73.4,Asheev Beach
391,Bengkulu,ID,83.82,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
395,Nagato,JP,87.84,overcast clouds,34.3833,131.2,いそう庵
398,Karkal,IN,82.22,overcast clouds,13.2,74.9833,Suhag Hotel
400,Garmsar,IR,85.64,clear sky,35.2182,52.3409,مجتمع مرصاد
401,Baillif,GP,77.65,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
